x,y,z
1.34829,0.183834,-0.0185177
1.31918,0.175221,-0.0183433
1.3049,0.168715,-0.0182561
1.29733,0.0945429,-0.018169
1.29765,0.0900135,-0.018169
1.30294,0.0858038,-0.018198
1.30324,0.0812555,-0.018198
1.30351,0.0767061,-0.018198
1.30377,0.0721552,-0.018198
1.30402,0.067604,-0.018198
1.30424,0.0630514,-0.018198
1.30446,0.0584986,-0.018198
1.29966,0.0537462,-0.018169
1.29984,0.0492089,-0.018169
1.3,0.044671,-0.018169
1.30015,0.0401331,-0.018169
1.30028,0.0355948,-0.018169
1.3004,0.0310554,-0.018169
1.30558,0.022053,-0.018198
1.3107,0.0129803,-0.0182271
1.31074,0.00840463,-0.0182271
1.31076,0.00382892,-0.0182271
1.31077,-0.000746177,-0.0182271
1.30573,-0.00985158,-0.018198
1.30569,-0.0144094,-0.018198
1.30563,-0.018967,-0.018198
1.31535,-0.0329035,-0.0182561
1.30411,0.0567378,-0.0255428
1.30947,0.0477908,-0.025601
1.30963,0.0432199,-0.025601
1.30977,0.0386484,-0.025601
1.3099,0.0340759,-0.025601
1.3151,0.0250018,-0.0256592
1.31518,0.0204114,-0.0256592
1.32024,0.0158567,-0.0257174
1.32029,0.0112484,-0.0257174
1.32032,0.00663926,-0.0257174
1.32034,0.00203069,-0.0257174
1.32034,-0.00257815,-0.0257174
1.32532,-0.0072376,-0.0257756
1.32529,-0.0118638,-0.0257756
1.32524,-0.0164898,-0.0257756
1.32517,-0.0211157,-0.0257756
1.32509,-0.0257412,-0.0257756
1.31999,-0.0302287,-0.0257174
1.31642,0.224641,0.0191345
1.2989,0.238287,0.0113768
1.29972,0.233752,0.0113768
1.30053,0.229213,0.0113768
1.30132,0.224673,0.0113768
1.3021,0.220128,0.0113768
1.30286,0.215582,0.0113768
1.3036,0.211033,0.0113768
1.30433,0.206481,0.0113768
1.30574,0.19737,0.0113768
1.3201,0.166643,0.0115513
1.29871,0.237765,0.00356908
1.29126,0.222503,0.00345579
1.29203,0.217995,0.00345579
1.29772,0.214273,0.00351244
1.29846,0.209742,0.00351244
1.29424,0.204452,0.00345579
1.29495,0.199934,0.00345579
1.29069,0.194692,0.00339915
1.31373,0.174674,0.00362572
1.31929,0.170704,0.00368237
1.31549,0.160907,0.00362572
1.31161,0.151171,0.00356908
1.3171,0.147123,0.00362572
1.31761,0.142524,0.00362572
1.3181,0.137924,0.00362572
1.31857,0.133322,0.00362572
1.31903,0.128719,0.00362572
1.31947,0.124113,0.00362572
1.31989,0.119508,0.00362572
1.32107,0.105678,0.00362572
1.32143,0.101067,0.00362572
1.32211,0.0918388,0.00362572
1.32242,0.0872235,0.00362572
1.318,0.0777197,0.00356908
1.31827,0.0731188,0.00356908
1.31851,0.0685164,0.00356908
1.31375,0.0636965,0.00351244
1.31396,0.0591106,0.00351244
1.31416,0.0545233,0.00351244
1.31434,0.0499353,0.00351244
1.31451,0.0453474,0.00351244
1.31466,0.0407589,0.00351244
1.31979,0.0362818,0.00356908
1.31502,0.0269894,0.00351244
1.3151,0.0223992,0.00351244
1.31517,0.0178088,0.00351244
1.31523,0.0132175,0.00351244
1.32026,0.00863397,0.00356908
1.32529,-0.000610056,0.00362572
1.30515,-0.0161194,-0.0324715
1.30509,-0.0206752,-0.0324715
1.32515,-0.0277914,-0.0406518
1.32505,-0.0324169,-0.0406518
1.31481,-0.0506163,-0.010875
1.31942,-0.060013,-0.010875
1.32476,-0.0516703,-0.0183142
1.32457,-0.0562942,-0.0183142
1.32437,-0.0609175,-0.0183142
1.29652,0.224306,-0.010875
1.2973,0.219779,-0.010875
